geneid	gene_name	proteinid	protein_size	protein_desc
ENSG00000139197	PEX5	ENSP00000391601	660	Peroxisomal targeting signal 1 receptor; Binds to the C-terminal PTS1-type tripeptide peroxisomal targeting signal (SKL-type) and plays an essential role in peroxisomal protein import
ENSG00000089818	NECAP1	ENSP00000341737	275	Adaptin ear-binding coat-associated protein 1; Involved in endocytosis; Belongs to the NECAP family
ENSG00000171847	FAM90A1	ENSP00000445418	464	Protein FAM90A1; Family with sequence similarity 90 member A1
ENSG00000166527	CLEC4D	ENSP00000299665	215	C-type lectin domain family 4 member D; Functions as an endocytic receptor. May be involved in antigen uptake at the site of infection, either for clearance of the antigen, or for processing and further presentation to T cells; C-type lectin domain containing
ENSG00000166535	A2ML1	ENSP00000299698	1454	Alpha-2-macroglobulin-like protein 1; Is able to inhibit all four classes of proteinases by a unique 'trapping' mechanism. This protein has a peptide stretch, called the 'bait region' which contains specific cleavage sites for different proteinases. When a proteinase cleaves the bait region, a conformational change is induced in the protein which traps the proteinase. The entrapped enzyme remains active against low molecular weight substrates (activity against high molecular weight substrates is greatly reduced). Following cleavage in the bait region a thioester bond is hydrolyzed and  [...] 
ENSG00000111752	PHC1	ENSP00000440674	1004	Polyhomeotic-like protein 1; Component of a Polycomb group (PcG) multiprotein PRC1- like complex, a complex class required to maintain the transcriptionally repressive state of many genes, including Hox genes, throughout development. PcG PRC1 complex acts via chromatin remodeling and modification of histones; it mediates monoubiquitination of histone H2A 'Lys-119', rendering chromatin heritably changed in its expressibility. Required for proper control of cellular levels of GMNN expression; Sterile alpha motif domain containing
ENSG00000139187	KLRG1	ENSP00000349477	189	Killer cell lectin-like receptor subfamily G member 1; Plays an inhibitory role on natural killer (NK) cells and T-cell functions upon binding to their non-MHC ligands. May mediate missing self recognition by binding to a highly conserved site on classical cadherins, enabling it to monitor expression of E-cadherin/CDH1, N-cadherin/CDH2 and R-cadherin/CDH4 on target cells; C-type lectin domain containing
ENSG00000069493	CLEC2D	ENSP00000261340	194	C-type lectin domain family 2 member D; Receptor for KLRB1 that protects target cells against natural killer cell-mediated lysis. Inhibits osteoclast formation. Inhibits bone resorption. Modulates the release of interferon-gamma. Binds high molecular weight sulfated glycosaminoglycans; C-type lectin domain containing
ENSG00000184293	CLECL1	ENSP00000483624	191	C-type lectin-like domain family 1; May function in mediating immune cell-cell interactions. May act as a T-cell costimulatory molecule, enhancing anti-CD3- induced proliferation. May play a role in the interaction of dendritic cells with T-cells and the cells of the adaptive immune response
ENSG00000172322	CLEC12A	ENSP00000347916	275	C-type lectin domain family 12 member A; Cell surface receptor that modulates signaling cascades and mediates tyrosine phosphorylation of target MAP kinases; C-type lectin domain containing
ENSG00000256660	CLEC12B	ENSP00000344563	276	C-type lectin domain family 12 member B; Cell surface receptor that protects target cells against natural killer cell-mediated lysis. Modulates signaling cascades and mediates tyrosine phosphorylation of target MAP kinases; C-type lectin domain containing
ENSG00000173391	OLR1	ENSP00000309124	273	Oxidized low-density lipoprotein receptor 1; Receptor that mediates the recognition, internalization and degradation of oxidatively modified low density lipoprotein (oxLDL) by vascular endothelial cells. OxLDL is a marker of atherosclerosis that induces vascular endothelial cell activation and dysfunction, resulting in pro-inflammatory responses, pro- oxidative conditions and apoptosis. Its association with oxLDL induces the activation of NF-kappa-B through an increased production of intracellular reactive oxygen and a variety of pro- atherogenic cellular responses including a reductio [...] 
ENSG00000134545	KLRC1	ENSP00000438038	233	NKG2-A/NKG2-B type II integral membrane protein; Plays a role as a receptor for the recognition of MHC class I HLA-E molecules by NK cells and some cytotoxic T-cells; C-type lectin domain containing
ENSG00000121318	TAS2R10	ENSP00000240619	307	Taste receptor type 2 member 10; Gustducin-coupled strychnine receptor implicated in the perception of bitter compounds in the oral cavity and the gastrointestinal tract. Signals through PLCB2 and the calcium- regulated cation channel TRPM5
ENSG00000212127	TAS2R14	ENSP00000441949	317	Taste receptor type 2 member 14; Receptor that may play a role in the perception of bitterness and is gustducin-linked. May play a role in sensing the chemical composition of the gastrointestinal content. The activity of this receptor may stimulate alpha gustducin, mediate PLC-beta-2 activation and lead to the gating of TRPM5 (By similarity); Belongs to the G-protein coupled receptor T2R family
ENSG00000212126	TAS2R50	ENSP00000424040	299	Taste receptor type 2 member 50; Receptor that may play a role in the perception of bitterness and is gustducin-linked. May play a role in sensing the chemical composition of the gastrointestinal content. The activity of this receptor may stimulate alpha gustducin, mediate PLC-beta-2 activation and lead to the gating of TRPM5 (By similarity); Belongs to the G-protein coupled receptor T2R family
ENSG00000255837	TAS2R20	ENSP00000441624	309	Taste receptor type 2 member 20; Receptor that may play a role in the perception of bitterness and is gustducin-linked. May play a role in sensing the chemical composition of the gastrointestinal content. The activity of this receptor may stimulate alpha gustducin, mediate PLC-beta-2 activation and lead to the gating of TRPM5 (By similarity); Belongs to the G-protein coupled receptor T2R family
ENSG00000212124	TAS2R19	ENSP00000375091	299	Taste receptor type 2 member 19; Receptor that may play a role in the perception of bitterness and is gustducin-linked. May play a role in sensing the chemical composition of the gastrointestinal content. The activity of this receptor may stimulate alpha gustducin, mediate PLC-beta-2 activation and lead to the gating of TRPM5 (By similarity); Belongs to the G-protein coupled receptor T2R family
ENSG00000255374	TAS2R43	ENSP00000431719	309	Taste receptor type 2 member 43; Gustducin-coupled receptor immplicated in the perception of bitter compounds in the oral cavity and the gastrointestinal tract. Signals through PLCB2 and the calcium-regulated cation channel TRPM5. Activated by the sulfonyl amide sweeteners saccharin and acesulfame K. In airway epithelial cells, binding of bitter compounds increases the intracellular calcium ion concentration and stimulates ciliary beat frequency. May act as chemosensory receptors in airway epithelial cells to detect and eliminate potential noxious agents from the airways (By similarity)
ENSG00000111215	PRR4	ENSP00000228811	134	Proline-rich protein 4; Proline rich 4
ENSG00000084444	KIAA1467	ENSP00000197268	622	Protein FAM234B; KIAA1467
ENSG00000139055	ERP27	ENSP00000266397	273	Endoplasmic reticulum protein 27; Belongs to the protein disulfide isomerase family
ENSG00000111404	RERGL	ENSP00000229002	205	Ras-related and estrogen-regulated growth inhibitor-like protein; Binds GDP/GTP and may possess intrinsic GTPase activity; RAS type GTPase family
ENSG00000121350	PYROXD1	ENSP00000240651	500	Pyridine nucleotide-disulfide oxidoreductase domain-containing protein 1; Involved in cellular response to oxidative stress; Belongs to the class-I pyridine nucleotide-disulfide oxidoreductase family. PYROXD1 subfamily
ENSG00000134532	SOX5	ENSP00000398273	763	Transcription factor SOX-5; Binds specifically to the DNA sequence 5'-AACAAT-3'. Activates transcription of COL2A1 and AGC1 in vitro; SRY-boxes
ENSG00000064115	TM7SF3	ENSP00000342322	570	Transmembrane 7 superfamily member 3; Involved in the inhibition of cytokine-induced death of pancreatic beta cells. Involved in the promotion of insulin secretion from pancreatic beta cells. Is a downstream transcriptional target of p53/TP53, and acts as a pro- survival homeostatic factor that attenuates the development of cellular stress. Maintains protein homeostasis and promotes cell survival through attenuation of endoplasmic reticulum (ER) stress and the subsequent induction of unfolded protein response (UPR)
ENSG00000211455	STK38L	ENSP00000373684	464	Serine/threonine-protein kinase 38-like; Involved in the regulation of structural processes in differentiating and mature neuronal cells
ENSG00000061794	MRPS35	ENSP00000081029	323	Mitochondrial ribosomal protein S35
ENSG00000064763	FAR2	ENSP00000443291	515	Fatty acyl-CoA reductase 2; Catalyzes the reduction of saturated but not unsaturated C16 or C18 fatty acyl-CoA to fatty alcohols. A lower activity can be observed with shorter fatty acyl-CoA substrates. It may play a role in the production of ether lipids/plasmalogens and wax monoesters which synthesis requires fatty alcohols as substrates (By similarity)
ENSG00000133704	IPO8	ENSP00000256079	1037	Importin-8; Seems to function in nuclear protein import, either by acting as autonomous nuclear transport receptor or as an adapter- like protein in association with the importin-beta subunit KPNB1. Acting autonomously, is thought to serve itself as receptor for nuclear localization signals (NLS) and to promote translocation of import substrates through the nuclear pore complex (NPC) by an energy requiring, Ran-dependent mechanism. At the nucleoplasmic side of the NPC, Ran binds to importin, the importin/substrate complex dissociates and importin is re-exported from the nucleus to the  [...] 
ENSG00000110888	CAPRIN2	ENSP00000298892	1077	Caprin-2; Promotes phosphorylation of the Wnt coreceptor LRP6, leading to increased activity of the canonical Wnt signaling pathway. Faciliates constitutive LRP6 phosphorylation by CDK14/CCNY during G2/M stage of the cell cycle, which may potentiate cells for Wnt signaling. May regulate the transport and translation of mRNAs, modulating for instance the expression of proteins involved in synaptic plasticity in neurons (By similarity). Involved in regulation of growth as erythroblasts shift from a highly proliferative state towards their terminal phase of differentiation. May be involve [...] 
ENSG00000013573	DDX11	ENSP00000440402	970	ATP-dependent DNA helicase DDX11; DNA-dependent ATPase and ATP-dependent DNA helicase that participates in various functions in genomic stability, including DNA replication, DNA repair and heterochromatin organization as well as in ribosomal RNA synthesis. Its double-stranded DNA helicase activity requires either a minimal 5'-single-stranded tail length of approximately 15 nt (flap substrates) or 10 nt length single- stranded gapped DNA substrates of a partial duplex DNA structure for helicase loading and translocation along DNA in a 5' to 3' direction. The helicase activity is capable [...] 
ENSG00000139146	FAM60A	ENSP00000337477	221	SIN3-HDAC complex-associated factor; Subunit of the Sin3 deacetylase complex (Sin3/HDAC), this subunit is important for the repression of genes encoding components of the TGF-beta signaling pathway. Core component of a SIN3A complex (composed of at least SINHCAF, SIN3A, HDAC1, SAP30, RBBP4, OGT and TET1) present in embryonic stem (ES) cells. Promotes the stability of SIN3A and its presence on chromatin and is essential for maintaining the potential of ES cells to proliferate rapidly, while ensuring a short G1-phase of the cell cycle, thereby preventing premature lineage priming (By sim [...] 
ENSG00000188906	LRRK2	ENSP00000298910	2527	Leucine-rich repeat serine/threonine-protein kinase 2; Positively regulates autophagy through a calcium- dependent activation of the CaMKK/AMPK signaling pathway. The process involves activation of nicotinic acid adenine dinucleotide phosphate (NAADP) receptors, increase in lysosomal pH, and calcium release from lysosomes. Together with RAB29, plays a role in the retrograde trafficking pathway for recycling proteins, such as mannose 6 phosphate receptor (M6PR), between lysosomes and the Golgi apparatus in a retromer-dependent manner. Regulates neuronal process morphology in the intact  [...] 
ENSG00000129317	PUS7L	ENSP00000415899	701	Pseudouridylate synthase that catalyzes pseudouridylation of RNAs
ENSG00000184613	NELL2	ENSP00000416341	866	Protein kinase C-binding protein NELL2; Required for neuron survival through the modulation of MAPK pathways (By similarity). Involved in the regulation of hypothalamic GNRH secretion and the control of puberty (By similarity)
ENSG00000134291	TMEM106C	ENSP00000400471	250	Transmembrane protein 106C
ENSG00000152556	PFKM	ENSP00000345771	851	ATP-dependent 6-phosphofructokinase, muscle type; Catalyzes the phosphorylation of D-fructose 6-phosphate to fructose 1,6-bisphosphate by ATP, the first committing step of glycolysis; Belongs to the phosphofructokinase type A (PFKA) family. ATP-dependent PFK group I subfamily. Eukaryotic two domain clade "E" sub-subfamily
ENSG00000187166	H1FNT	ENSP00000334805	255	Testis-specific H1 histone; Essential for normal spermatogenesis and male fertility. Required for proper cell restructuring and DNA condensation during the elongation phase of spermiogenesis. Involved in the histone-protamine transition of sperm chromatin and the subsequent production of functional sperm. Binds both double-stranded and single-stranded DNA, ATP and protamine-1; Histones
ENSG00000167528	ZNF641	ENSP00000437832	438	Zinc finger protein 641; Transcriptional activator. Activates transcriptional activities of SRE and AP-1; Belongs to the krueppel C2H2-type zinc-finger protein family
ENSG00000177627	C12orf54	ENSP00000316898	127	Uncharacterized protein C12orf54; Chromosome 12 open reading frame 54
ENSG00000139620	KANSL2	ENSP00000415436	492	KAT8 regulatory NSL complex subunit 2; As part of the NSL complex it is involved in acetylation of nucleosomal histone H4 on several lysine residues and therefore may be involved in the regulation of transcription
ENSG00000139537	CCDC65	ENSP00000312706	484	Coiled-coil domain-containing protein 65; May play a role in motile cilia function, possibly by acting on the assembly of the nexin-dynein regulatory complex; Belongs to the CCDC65 family
ENSG00000134285	FKBP11	ENSP00000449751	201	Peptidyl-prolyl cis-trans isomerase FKBP11; PPIases accelerate the folding of proteins during protein synthesis; FKBP prolyl isomerases
ENSG00000181418	DDN	ENSP00000390590	711	Dendrin; Promotes apoptosis of kidney glomerular podocytes. Podocytes are highly specialized cells essential to the ultrafiltration of blood, resulting in the extraction of urine and the retention of protein (By similarity)
ENSG00000135406	PRPH	ENSP00000257860	470	Peripherin; Class-III neuronal intermediate filament protein
ENSG00000161791	FMNL3	ENSP00000335655	1027	Formin-like protein 3; Plays a role in the regulation of cell morphology and cytoskeletal organization. Required in the control of cell shape and migration. Required for developmental angiogenesis (By similarity). In this process, required for microtubule reorganization and for efficient endothelial cell elongation. In quiescent endothelial cells, triggers rearrangement of the actin cytoskeleton, but does not alter microtubule alignement; Belongs to the formin homology family
ENSG00000161798	AQP5	ENSP00000293599	265	Aquaporin-5; Forms a water-specific channel. Implicated in the generation of saliva, tears, and pulmonary secretions. Required for TRPV4 activation by hypotonicity. Together with TRPV4, controls regulatory volume decrease in salivary epithelial cells; Belongs to the MIP/aquaporin (TC 1.A.8) family
ENSG00000086159	AQP6	ENSP00000477688	282	Aquaporin-6; Forms a water-specific channel that participates in distinct physiological functions such as glomerular filtration, tubular endocytosis and acid-base metabolism; Aquaporins
ENSG00000178449	COX14	ENSP00000446524	57	Cytochrome c oxidase assembly protein COX14; Core component of the MITRAC (mitochondrial translation regulation assembly intermediate of cytochrome c oxidase complex) complex, that regulates cytochrome c oxidase assembly. Requires for coordination of the early steps of cytochrome c oxidase assembly with the synthesis of MT-CO1
ENSG00000123268	ATF1	ENSP00000262053	271	Cyclic AMP-dependent transcription factor ATF-1; This protein binds the cAMP response element (CRE) (consensus: 5'-GTGACGT[AC][AG]-3'), a sequence present in many viral and cellular promoters. Binds to the Tax-responsive element (TRE) of HTLV-I. Mediates PKA-induced stimulation of CRE-reporter genes. Represses the expression of FTH1 and other antioxidant detoxification genes. Triggers cell proliferation and transformation; Basic leucine zipper proteins
ENSG00000110934	BIN2	ENSP00000267012	565	Bridging integrator 2; Promotes cell motility and migration, probably via its interaction with the cell membrane and with podosome proteins that mediate interaction with the cytoskeleton. Modulates membrane curvature and mediates membrane tubulation. Plays a role in podosome formation. Inhibits phagocytosis; N-BAR domain containing
ENSG00000161835	GRASP	ENSP00000293662	395	General receptor for phosphoinositides 1-associated scaffold protein; Plays a role in intracellular trafficking and contributes to the macromolecular organization of group 1 metabotropic glutamate receptors (mGluRs) at synapses; PDZ domain containing
ENSG00000167767	KRT80	ENSP00000378292	452	Keratin, type II cytoskeletal 80; Keratins, type II
ENSG00000170486	KRT72	ENSP00000293745	511	Keratin, type II cytoskeletal 72; Has a role in hair formation. Specific component of keratin intermediate filaments in the inner root sheath (IRS) of the hair follicle (Probable)
ENSG00000063046	EIF4B	ENSP00000388806	616	Eukaryotic translation initiation factor 4B; Required for the binding of mRNA to ribosomes. Functions in close association with EIF4-F and EIF4-A. Binds near the 5'- terminal cap of mRNA in presence of EIF-4F and ATP. Promotes the ATPase activity and the ATP-dependent RNA unwinding activity of both EIF4-A and EIF4-F
ENSG00000094914	AAAS	ENSP00000209873	546	Aladin; Plays a role in the normal development of the peripheral and central nervous system; Nucleoporins
ENSG00000185591	SP1	ENSP00000329357	785	Transcription factor Sp1; Transcription factor that can activate or repress transcription in response to physiological and pathological stimuli. Binds with high affinity to GC-rich motifs and regulates the expression of a large number of genes involved in a variety of processes such as cell growth, apoptosis, differentiation and immune responses. Highly regulated by post-translational modifications (phosphorylations, sumoylation, proteolytic cleavage, glycosylation and acetylation). Binds also the PDGFR- alpha G-box promoter. May have a role in modulating the cellular response to DNA d [...] 
ENSG00000205352	PRR13	ENSP00000412064	148	Proline-rich protein 13; Negatively regulates TSP1 expression at the level of transcription. This down-regulation was shown to reduce taxane- induced apoptosis
ENSG00000170653	ATF7	ENSP00000399465	483	Cyclic AMP-dependent transcription factor ATF-7; Plays important functions in early cell signaling. Binds the cAMP response element (CRE) (consensus: 5'-GTGACGT[AG][AG]- 3'), a sequence present in many viral and cellular promoters. Activator of the NF-ELAM1/delta-A site of the E-selectin promoter. Has no intrinsic transcriptional activity, but activates transcription on formation of JUN or FOS heterodimers. Also can bind TRE promoter sequences when heterodimerized with members of the JUN family; Basic leucine zipper proteins
ENSG00000123415	SMUG1	ENSP00000424191	270	Single-strand selective monofunctional uracil DNA glycosylase; Recognizes base lesions in the genome and initiates base excision DNA repair. Acts as a monofunctional DNA glycosylase specific for uracil (U) residues in DNA with a preference for single-stranded DNA substrates. The activity is greater toward mismatches (U/G) compared to matches (U/A). Excises uracil (U), 5- formyluracil (fU) and uracil derivatives bearing an oxidized group at C5 [5-hydroxyuracil (hoU) and 5-hydroxymethyluracil (hmU)] in ssDNA and dsDNA, but not analogous cytosine derivatives (5- hydroxycytosine and 5-form [...] 
ENSG00000111481	COPZ1	ENSP00000449270	185	Coatomer subunit zeta-1; The coatomer is a cytosolic protein complex that binds to dilysine motifs and reversibly associates with Golgi non- clathrin-coated vesicles, which further mediate biosynthetic protein transport from the ER, via the Golgi up to the trans Golgi network. Coatomer complex is required for budding from Golgi membranes, and is essential for the retrograde Golgi-to-ER transport of dilysine-tagged proteins. In mammals, the coatomer can only be recruited by membranes associated to ADP-ribosylation factors (ARFs), which are small GTP-binding proteins; the complex also in [...] 
ENSG00000139572	GPR84	ENSP00000450310	396	G-protein coupled receptor 84; Receptor for medium-chain free fatty acid (FFA) with carbon chain lengths of C9 to C14. Capric acid (C10:0), undecanoic acid (C11:0) and lauric acid (C12:0) are the most potent agonists. Not activated by short-chain and long-chain saturated and unsaturated FFAs. Activation by medium-chain free fatty acid is coupled to a pertussis toxin sensitive G(i/o) protein pathway. May have important roles in processes from fatty acid metabolism to regulation of the immune system
ENSG00000170627	GTSF1	ENSP00000446485	167	Gametocyte-specific factor 1; Required for spermatogenesis and is involved in the suppression of retrotransposon transcription in male germ cells
ENSG00000123360	PDE1B	ENSP00000243052	536	Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1B; Cyclic nucleotide phosphodiesterase with a dual- specificity for the second messengers cAMP and cGMP, which are key regulators of many important physiological processes. Has a preference for cGMP as a substrate
ENSG00000135424	ITGA7	ENSP00000452120	1141	Integrin alpha-7; Integrin alpha-7/beta-1 is the primary laminin receptor on skeletal myoblasts and adult myofibers. During myogenic differentiation, it may induce changes in the shape and mobility of myoblasts, and facilitate their localization at laminin-rich sites of secondary fiber formation. It is involved in the maintenance of the myofibers cytoarchitecture as well as for their anchorage, viability and functional integrity. Isoform Alpha-7X2B and isoform Alpha-7X1B promote myoblast migration on laminin 1 and laminin 2/4, but isoform Alpha-7X1B is less active on laminin 1 (In vitr [...] 
ENSG00000185664	PMEL	ENSP00000402758	668	Melanocyte protein PMEL; Plays a central role in the biogenesis of melanosomes. Involved in the maturation of melanosomes from stage I to II. The transition from stage I melanosomes to stage II melanosomes involves an elongation of the vesicle, and the appearance within of distinct fibrillar structures. Release of the soluble form, ME20-S, could protect tumor cells from antibody mediated immunity
ENSG00000135469	COQ10A	ENSP00000312587	247	Coenzyme Q-binding protein COQ10 homolog A, mitochondrial; Required for the function of coenzyme Q in the respiratory chain. May serve as a chaperone or may be involved in the transport of Q6 from its site of synthesis to the catalytic sites of the respiratory complexes (Probable); Belongs to the COQ10 family
ENSG00000062485	CS	ENSP00000342056	466	Citrate synthase, mitochondrial; Citrate synthase
ENSG00000076067	RBMS2	ENSP00000262031	407	RNA-binding motif, single-stranded-interacting protein 2; RNA binding motif single stranded interacting protein 2
ENSG00000196531	NACA	ENSP00000448035	925	Nascent polypeptide-associated complex subunit alpha, muscle-specific form; Cardiac- and muscle-specific transcription factor. May act to regulate the expression of genes involved in the development of myotubes. Plays a critical role in ventricular cardiomyocyte expansion and regulates postnatal skeletal muscle growth and regeneration. Involved in the organized assembly of thick and thin filaments of myofibril sarcomeres (By similarity)
ENSG00000175197	DDIT3	ENSP00000448665	192	DNA damage-inducible transcript 3 protein; Multifunctional transcription factor in ER stress response. Plays an essential role in the response to a wide variety of cell stresses and induces cell cycle arrest and apoptosis in response to ER stress. Plays a dual role both as an inhibitor of CCAAT/enhancer-binding protein (C/EBP) function and as an activator of other genes. Acts as a dominant-negative regulator of C/EBP-induced transcription: dimerizes with members of the C/EBP family, impairs their association with C/EBP binding sites in the promoter regions, and inhibits the expression  [...] 
ENSG00000139266	9-Mar	ENSP00000266643	346	E3 ubiquitin-protein ligase MARCH9; E3 ubiquitin-protein ligase that may mediate ubiquitination of MHC-I, CD4 and ICAM1, and promote their subsequent endocytosis and sorting to lysosomes via multivesicular bodies. E3 ubiquitin ligases accept ubiquitin from an E2 ubiquitin-conjugating enzyme in the form of a thioester and then directly transfer the ubiquitin to targeted substrates; Membrane associated ring-CH-type fingers
ENSG00000123427	METTL21B	ENSP00000300209	226	EEF1A lysine methyltransferase 3; Protein-lysine methyltransferase that selectively methylates EEF1A1 and EEF1A2 at 'Lys-165' in an aminoacyl-tRNA and GTP-dependent manner. EEF1A1 methylation by EEF1AKMT3 is dynamic as well as inducible by stress conditions, such as ER-stress, and plays a regulatory role on mRNA translation; Belongs to the methyltransferase superfamily. METTL21 family
ENSG00000123297	TSFM	ENSP00000313877	346	Elongation factor Ts, mitochondrial; Associates with the EF-Tu.GDP complex and induces the exchange of GDP to GTP. It remains bound to the aminoacyl-tRNA.EF- Tu.GTP complex up to the GTP hydrolysis stage on the ribosome; Belongs to the EF-Ts family
ENSG00000175215	CTDSP2	ENSP00000381148	271	Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 2; Preferentially catalyzes the dephosphorylation of 'Ser- 5' within the tandem 7 residue repeats in the C-terminal domain (CTD) of the largest RNA polymerase II subunit POLR2A. Negatively regulates RNA polymerase II transcription, possibly by controlling the transition from initiation/capping to processive transcript elongation. Recruited by REST to neuronal genes that contain RE-1 elements, leading to neuronal gene silencing in non-neuronal cells. May contribute to the development of sarcomas; CTD family phosphatases
ENSG00000166896	XRCC6BP1	ENSP00000300145	246	Mitochondrial inner membrane protease ATP23 homolog; XRCC6 binding protein 1; Belongs to the peptidase M76 family
ENSG00000177990	DPY19L2	ENSP00000315988	758	Probable C-mannosyltransferase DPY19L2; Probable C-mannosyltransferase that mediates C- mannosylation of tryptophan residues on target proteins (By similarity). Required during spermatogenesis for sperm head elongation and acrosome formation; Belongs to the dpy-19 family
ENSG00000196935	SRGAP1	ENSP00000347198	1085	SLIT-ROBO Rho GTPase-activating protein 1; GTPase-activating protein for RhoA and Cdc42 small GTPases. Together with CDC42 seems to be involved in the pathway mediating the repulsive signaling of Robo and Slit proteins in neuronal migration. SLIT2, probably through interaction with ROBO1, increases the interaction of SRGAP1 with ROBO1 and inactivates CDC42; F-BAR domain containing 
ENSG00000111490	TBC1D30	ENSP00000440207	761	TBC1 domain family member 30; GTPase-activating protein (GAP) with broad specificity. Acts as a GAP for RAB3A. Also exhibits significant GAP activity toward RAB22A, RAB27A, and RAB35 in vitro
ENSG00000156076	WIF1	ENSP00000286574	379	Wnt inhibitory factor 1; Binds to WNT proteins and inhibits their activities. May be involved in mesoderm segmentation
ENSG00000155957	TMBIM4	ENSP00000286424	285	Transmembrane BAX inhibitor motif containing 4; Belongs to the BI1 family
ENSG00000111581	NUP107	ENSP00000229179	925	Nuclear pore complex protein Nup107; Plays a role in the nuclear pore complex (NPC) assembly and/or maintenance. Required for the assembly of peripheral proteins into the NPC. May anchor NUP62 to the NPC; Belongs to the nucleoporin Nup84/Nup107 family
ENSG00000090382	LYZ	ENSP00000261267	148	Lysozyme C; Lysozymes have primarily a bacteriolytic function; those in tissues and body fluids are associated with the monocyte- macrophage system and enhance the activity of immunoagents; Lysozymes, c-type
ENSG00000127337	YEATS4	ENSP00000247843	227	YEATS domain-containing protein 4; Component of the NuA4 histone acetyltransferase (HAT) complex which is involved in transcriptional activation of select genes principally by acetylation of nucleosomal histones H4 and H2A. This modification may both alter nucleosome - DNA interactions and promote interaction of the modified histones with other proteins which positively regulate transcription. This complex may be required for the activation of transcriptional programs associated with oncogene and proto-oncogene mediated growth induction, tumor suppressor mediated growth arrest and repl [...] 
ENSG00000139292	LGR5	ENSP00000266674	907	Leucine-rich repeat-containing G-protein coupled receptor 5; Receptor for R-spondins that potentiates the canonical Wnt signaling pathway and acts as a stem cell marker of the intestinal epithelium and the hair follicle. Upon binding to R- spondins (RSPO1, RSPO2, RSPO3 or RSPO4), associates with phosphorylated LRP6 and frizzled receptors that are activated by extracellular Wnt receptors, triggering the canonical Wnt signaling pathway to increase expression of target genes. In contrast to classical G-protein coupled receptors, does not activate heterotrimeric G-proteins to transduce the [...] 
ENSG00000253719	ATXN7L3B	ENSP00000430000	97	Ataxin-7-like protein 3B; By binding to ENY2, interferes with the nuclear functions of the deubiquitinase (DUB) module of the SAGA complex which consists of ENY2, ATXN7, ATXN7L3 and the histone deubiquitinating component USP22. Affects USP22 DUB activity toward histones indirectly by changing the subcellular distribution of ENY2 and altering ENY2 availability for ATXN7L3 interaction. Regulates H2B monoubiquitination (H2Bub1) levels through cytoplasmic sequestration of ENY2 resulting in loss of nuclear ENY2-ATXN7L3 association which destabilizes ATXN7L3. Affects protein expression level [...] 
ENSG00000180481	GLIPR1L2	ENSP00000448248	344	GLIPR1-like protein 2; GLI pathogenesis related family 1; Belongs to the CRISP family
ENSG00000111615	KRR1	ENSP00000229214	381	KRR1 small subunit processome component homolog; Required for 40S ribosome biogenesis. Involved in nucleolar processing of pre-18S ribosomal RNA and ribosome assembly (By similarity)
ENSG00000165899	OTOGL	ENSP00000400895	2344	Otogelin-like protein; Otogelin like
ENSG00000139304	PTPRQ	ENSP00000482885	2299	Phosphatidylinositol phosphatase PTPRQ; Phosphatidylinositol phosphatase required for auditory function. May act by regulating the level of phosphatidylinositol 4,5-bisphosphate (PIP2) level in the basal region of hair bundles. Can dephosphorylate a broad range of phosphatidylinositol phosphates, including phosphatidylinositol 3,4,5-trisphosphate and most phosphatidylinositol monophosphates and diphosphates. Phosphate can be hydrolyzed from the D3 and D5 positions in the inositol ring. Has low tyrosine-protein phosphatase activity; however, the relevance of such activity in vivo is unc [...] 
ENSG00000111046	MYF6	ENSP00000228641	242	Myogenic factor 6; Involved in muscle differentiation (myogenic factor). Induces fibroblasts to differentiate into myoblasts. Probable sequence specific DNA-binding protein; Basic helix-loop-helix proteins
ENSG00000011465	DCN	ENSP00000052754	359	Decorin; May affect the rate of fibrils formation; Small leucine rich repeat proteoglycans
ENSG00000184752	NDUFA12	ENSP00000330737	145	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12; Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone
ENSG00000111142	METAP2	ENSP00000325312	478	Methionine aminopeptidase 2; Cotranslationally removes the N-terminal methionine from nascent proteins. The N-terminal methionine is often cleaved when the second residue in the primary sequence is small and uncharged (Met-Ala-, Cys, Gly, Pro, Ser, Thr, or Val). The catalytic activity of human METAP2 toward Met-Val peptides is consistently two orders of magnitude higher than that of METAP1, suggesting that it is responsible for processing proteins containing N- terminal Met-Val and Met-Thr sequences in vivo; Belongs to the peptidase M24A family. Methionine aminopeptidase eukaryotic typ [...] 
ENSG00000074527	NTN4	ENSP00000340998	628	Netrin-4; May play an important role in neural, kidney and vascular development. Promotes neurite elongation from olfactory bulb explants; Netrins
ENSG00000139344	AMDHD1	ENSP00000266736	426	Probable imidazolonepropionase; Amidohydrolase domain containing 1
ENSG00000166130	IKBIP	ENSP00000299157	377	IKBKB interacting protein
ENSG00000120800	UTP20	ENSP00000261637	2785	Small subunit processome component 20 homolog; Involved in 18S pre-rRNA processing. Associates with U3 snoRNA; Armadillo-like helical domain containing
